,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
169,Stevens Croft,Operational,Operational,-3.3808913069179294,55.15240118273998,Biomass (dedicated),50.40,Dumfries and Galloway,Scotland,Scotland
170,Rose Energy (Glenavy) Incinerator,Application Refused,Planning Permission Refused,-6.253718496709449,54.545325836850665,Biomass (dedicated),30.00,Co. Antrim,Northern Ireland,Northern Ireland
171,Riccall Mine,Application Withdrawn,Planning Application Withdrawn,-2.1404519800183,53.69264410532958,Biomass (dedicated),20.00,North Yorkshire,Yorkshire and Humber,England
172,Bristol Port / Avonmouth,Abandoned,Abandoned,-2.686193827027274,51.494351562266424,Biomass (dedicated),100.00,Avon,South West,England
173,Billingham Biomass Power Station,Awaiting Construction,Planning Permission Granted,-1.2613221279081277,54.58796010248888,Biomass (dedicated),49.80,County Durham,North East,England
174,Tansterne Straw-Burning Power Station,Abandoned,Abandoned,-0.13594954424817748,53.830550639847246,Biomass (dedicated),10.00,Humberside,Yorkshire and Humber,England
175,Stallingborough Biomass Power Plant ,Planning Permission Expired,Planning Permission Expired,-0.20377460697945468,53.58676789069134,Biomass (dedicated),65.00,Lincolnshire,Yorkshire and Humber,England
176,Sutton Bridge Renewable Energy Park,Application Refused,Planning Permission Refused,0.20488955625047403,52.760558883975584,Biomass (dedicated),48.00,Lincolnshire,East Midlands,England
177,Macphie of Glenbervie,Operational,Operational,-2.3875809345163814,56.91521885681524,Biomass (dedicated),1.20,Grampian,Scotland,Scotland
178,Sleaford Renewable Energy Plant,Operational,Operational,-0.3827234368322801,52.99900964629439,Biomass (dedicated),40.00,Lincolnshire,East Midlands,England
179,North Tamar Environ Project - Holsworthy  (Farm AD),Operational,Operational,-4.352036311667947,50.82800336466742,Anaerobic Digestion,1.40,Devon,South West,England
180,Deerdykes Composting and Organics Recycling Facility (Waste AD),Operational,Operational,-3.9575231364365444,55.970409551538346,Anaerobic Digestion,1.00,Strathclyde,Scotland,Scotland
181,Cumbernauld BioPlant  (Waste AD),Operational,Operational,-3.9575231364365444,55.970409551538346,Anaerobic Digestion,2.40,Strathclyde,Scotland,Scotland
182,Carr Farm (Farm AD),Operational,Operational,-2.9287666876104437,53.7485466153514,Anaerobic Digestion,1.00,Lancashire,North West,England
183,Stoke Bardolph energy crop (Farm AD),Operational,Operational,-1.039584230297768,52.97593249262566,Anaerobic Digestion,2.00,Nottinghamshire,East Midlands,England
